,HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,ULATIVE FROM JULY,Unnamed: 6
0,,,,QUANTITY,VALUE,QUANTITY,VALUE
177,,United Arab Emirates,,,,,
178,,Viet Nam,,,,10475,3111
179,2071100.0,MEAT OF FOWLS OF SPE GOLL F/CH,KG,,,118161,43913
180,,Oman,,,,6721,2758
181,,Qatar,,,,77780,28356
182,,Viet Nam,,,,33660,12799
183,2071200.0,MEAT OF FOWL OF SPE GALLU FROZ,KG,,,254696,55388
184,,Afghanistan,,,,44022,7232
185,,Hong Kong S.A.Re.Chi,,,,44270,11782
186,,Qatar,,,,25509,5313
187,,Viet Nam,,,,140895,31061
188,2071300.0,CUTS&OFFAL OF FOWL FR/CHILL,KG,,,75218,3971
189,,Afghanistan,,,,3708,925
190,,Bahrain,,,,1010,252
191,,Viet Nam,,,,70500,2794
192,2071400.0,CUTS & OFFAL OF FOWLS FROZEN,KG,326800,40848,3464258,380663
193,,Afghanistan,,,,,
194,,Hong Kong S.A.Re.Chi,,,,236043,29434
195,,Malaysia,,,,5765,634
196,,Romania,,,,6000,952
197,,Saudi Arabia,,,,45000,6191
198,,Thailand,,,,18885,2006
199,,Viet Nam,,326800,40848,3152565,341446
200,2072500.0,MEAT OF TURKEY FROZEN NOT CUT,KG,,,4995,1500
201,,Afghanistan,,,,4995,1500
202,2072600.0,CUT & OFFAL OF TURKEY FR/CHILL,KG,,,30000,4495
203,,Viet Nam,,,,30000,4495
204,2072700.0,"CUT & OFFAL OF TURKEY,FROZEN",KG,,,59600,3737
205,,Viet Nam,,,,59600,3737
206,2074500.0,OTH DUCK MEAT FROZEN,KG,12750,3584,156762,32110
207,,Afghanistan,,,,,
208,,Australia,,,,,
209,,Hong Kong S.A.Re.Chi,,,,,
210,,Viet Nam,,12750,3584,156762,32110
211,2075500.0,OTH GEESE MEAT FROZEN,KG,1110,542,25095,11632
212,,Australia,,,,,
213,,Hong Kong S.A.Re.Chi,,1110,542,8375,4444
214,,Thailand,,,,,
215,,Viet Nam,,,,16720,7188
216,2086000.0,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,3683,1931,86582,41358
217,,Bahrain,,,,,
218,,Kuwait,,610,317,53677,25062
219,,Oman,,,,3120,1240
220,,Saudi Arabia,,1433,745,21763,10984
221,,United Arab Emirates,,1640,869,8022,4072
222,2089000.0,OTH MEAT/OFFL EDIBL FR/CH/FRZ,KG,,,500,201
223,,Austria,,,,500,201
224,,Greece,,,,,
225,,Romania,,,,,
226,2099000.0,"O, POULTRY FAT FR/CH/FZ,DRI,SM",KG,,,83300,2105
227,,Afghanistan,,,,83300,2105
228,2102000.0,OTH MEAT BOV ANIM DRIED/SMOKED,KG,48232,21995,668952,251207
229,,Bahrain,,4800,2010,16800,7031
230,,Hong Kong S.A.Re.Chi,,,,,
231,,Kuwait,,14400,6847,197840,85457
232,,Oman,,5700,2731,84700,34203
233,,Saudi Arabia,,,,3720,1652
234,,United Arab Emirates,,23332,10406,145092,61743
235,,Viet Nam,,,,220800,61121
236,3011900.0,OTHER ORNAMENTAL FISH,KG,,,1462,565
237,,China,,,,,
238,,Hong Kong S.A.Re.Chi,,,,1462,565
239,,Japan,,,,,
240,,O.Asia(Tai.For.Pe.Ki,,,,,
241,,Singapore,,,,,
242,,Thailand,,,,,
243,,Viet Nam,,,,,
244,3019900.0,OTHER LIVE FISH,KG,,,259182,91826
245,,China,,,,181948,62766
246,,Denmark,,,,,
247,,Hong Kong S.A.Re.Chi,,,,61308,22698
248,,Japan,,,,1190,564
249,,O.Asia(Tai.For.Pe.Ki,,,,14736,5798
250,,Singapore,,,,,
251,,Thailand,,,,,
252,3021900.0,"OTH SALMO FISH,EXCL LIVER F/CH",KG,14630,3805,446715,136972
253,,Afghanistan,,14630,3805,223409,66402
254,,Bahrain,,,,,
255,,Canada,,,,11750,4537
256,,Hong Kong S.A.Re.Chi,,,,1346,709
257,,Jordan,,,,,
258,,Kuwait,,,,150682,45099
259,,Mauritius,,,,,
260,,O.Asia(Tai.For.Pe.Ki,,,,21340,6735
261,,Oman,,,,,
262,,Qatar,,,,1999,885
263,,Saudi Arabia,,,,36189,12605
264,,Thailand,,,,,
265,,U.S.America,,,,,
266,,United Arab Emirates,,,,,
267,,United Kingdom,,,,,
268,3022300.0,SOLE FLAT FISH F/CH EXCL.LIVER,KG,,,56818,18841
269,,China,,,,4030,1387
270,,Hong Kong S.A.Re.Chi,,,,6560,2239
271,,Maldives,,,,,
272,,O.Asia(Tai.For.Pe.Ki,,,,2640,887
273,,Oman,,,,800,337
274,,U.S.America,,,,,
275,,United Arab Emirates,,,,42788,13991
276,3022900.0,"O.FLAT FISH,EX.LIVER&ROES.F/CH",KG,,,1290,263
277,,Afghanistan,,,,1290,263
278,,Canada,,,,,
279,,China,,,,,
280,,Hong Kong S.A.Re.Chi,,,,,
281,,Kuwait,,,,,
282,,O.Asia(Tai.For.Pe.Ki,,,,,
283,,Qatar,,,,,
284,,Saudi Arabia,,,,,
285,,Singapore,,,,,
286,,Thailand,,,,,
287,,U.S.America,,,,,
288,,United Arab Emirates,,,,,
289,,Viet Nam,,,,,
290,3023900.0,OTH TUNAS EXCL LVR/ROES FR/CHL,KG,,,532871,182556
291,,Angola,,,,,
292,,Bahrain,,,,23500,3690
293,,Canada,,,,6065,2020
294,,China,,,,520,171
295,,Hong Kong S.A.Re.Chi,,,,4773,1906
296,,Jordan,,,,3987,1348
297,,Kuwait,,,,125361,57373
298,,O.Asia(Tai.For.Pe.Ki,,,,2130,767
299,,Oman,,,,50000,19204
300,,Qatar,,,,122862,39640
301,,Saudi Arabia,,,,59241,17518
302,,Senegal,,,,,
303,,South Africa,,,,,
304,,Thailand,,,,,
305,,U.S.America,,,,4405,2015
306,,United Arab Emirates,,,,130027,36904
307,,Viet Nam,,,,,
308,3024300.0,"SARDINES,BRISLING/SPRATS FR/CH",KG,52500,3488,9254783,729142
309,,Afghanistan,,,,127660,11570
310,,American Samoa,,,,,
311,,China,,,,1800,204
312,,Indonesia,,,,5302670,406593
313,,Iraq,,,,133750,12631
314,,O.Asia(Tai.For.Pe.Ki,,26500,1806,676590,54931
315,,Samoa,,,,72620,6668
316,,Thailand,,26000,1682,183115,16037
317,,Viet Nam,,,,2756578,220508
318,3025900.0,O.FISH BREG FAMILIES E.LIV F/C,KG,,,,
319,,Saudi Arabia,,,,,
320,3029900.0,OTH EDIBLE FISH OFFAL FR/CHILL,KG,,,4250,412
321,,Afghanistan,,,,4250,412
322,3031400.0,"TROUT,SALMONIDAE EXC LIVER&ROE",KG,,,16000,9305
323,,Thailand,,,,16000,9305
324,3031900.0,"O.SALMONIDAE FROZ,EX.LIVER&ROE",KG,3681717,891849,37501442,9718328
325,,Afghanistan,,,,,
326,,Bahrain,,,,69375,15913
327,,Bangladesh,,10222,2366,36628,8876
328,,Belgium,,24000,6931,217189,58894
329,,China,,688477,177938,3780301,1000285
330,,Cyprus,,26016,12024,84114,32070
331,,Egypt(U.A.R.),,,,7155,1901
332,,Greece,,,,40000,10757
333,,Hong Kong S.A.Re.Chi,,,,550,116
334,,Indonesia,,,,297460,71749
335,,Iraq,,12575,4086,132850,26579
336,,Italy,,,,67170,17700
337,,Japan,,,,99200,31192
338,,Jordan,,,,,
339,,"Korea, Republic of",,84756,21631,781514,216359
340,,Kuwait,,,,111215,34414
341,,Malaysia,,35200,9972,588207,155982
342,,Mauritius,,,,,
343,,O.Asia(Tai.For.Pe.Ki,,25560,7029,431167,78186
344,,Qatar,,,,2400,758
345,,Saudi Arabia,,,,,
346,,Singapore,,13500,3465,124960,31832
347,,Spain,,33283,14911,955419,251897
348,,Sri Lanka,,,,,
349,,Thailand,,737924,171515,14321357,3229290
350,,U.S.America,,,,181325,47612
351,,United Arab Emirates,,,,117278,26482
352,,United Kingdom,,33653,19756,485589,145990
353,,Viet Nam,,1956551,440224,14569019,4223493
354,3032400.0,CATFISH EXCL.LIVER/ROES FROZEN,KG,,,,
355,,Thailand,,,,,
356,3032500.0,CARP EXCL.LIVER&ROES FROXEN,KG,,,22676,5205
357,,Thailand,,,,22676,5205
358,3032900.0,O.TILAPIAS.EX.LIVERS&ROES FROZ,KG,826220,194264,8097679,2327701
359,,Bahrain,,,,,
360,,Bangladesh,,,,,
361,,China,,62240,13761,1325417,360215
362,,Fiji,,,,16120,4392
363,,Hong Kong S.A.Re.Chi,,,,9905,3949
364,,Indonesia,,,,622662,184238
365,,Iraq,,10625,2496,39185,11215
366,,Japan,,,,34431,11414
367,,Jordan,,,,1121,355
368,,"Korea, Republic of",,,,171073,56543
369,,Kuwait,,34020,16049,617417,258364
370,,Malaysia,,79767,22227,113067,32503
371,,O.Asia(Tai.For.Pe.Ki,,4910,2136,57191,22025
372,,Qatar,,,,8577,3400
373,,Saudi Arabia,,1000,462,154900,62673
374,,Singapore,,,,18914,5138
375,,Thailand,,633658,137134,3504122,880568
376,,U.S.America,,,,505,369
377,,United Arab Emirates,,,,,
378,,Viet Nam,,,,1403072,430340
379,3033300.0,SOLE FLAT FISH EXCL LIVER FROZ,KG,,,,
380,,China,,,,,
381,,Viet Nam,,,,,
382,3033900.0,"OTH FLAT FISH,EXCL LIVERS FROZ",KG,5030612,1326151,76277483,18671356
383,,Albania,,,,,
384,,Australia,,,,,
385,,Bahrain,,,,157469,35805
386,,Bangladesh,,,,43203,8764
387,,Brunei Darussalam,,,,26500,6213
388,,Canada,,,,92490,33313
389,,China,,999301,235375,9502029,2280392
390,,Egypt(U.A.R.),,,,24720,11403
391,,Fiji,,,,7800,2282
392,,Hong Kong S.A.Re.Chi,,15945,4704,177320,62417
393,,Indonesia,,,,1735793,369096
394,,Iraq,,51980,11696,66980,15768
395,,Italy,,,,,
396,,Japan,,,,193300,110289
397,,Jordan,,750,260,121894,34206
398,,"Korea, Republic of",,122178,28613,1795976,464173
399,,Kuwait,,30939,12840,941526,300312
400,,Lebanon,,11380,7038,88789,26723
401,,Malaysia,,304657,90723,4026320,1024024
402,,Mauritius,,,,22830,8952
403,,Myanmar,,,,,
404,,O.Asia(Tai.For.Pe.Ki,,47200,12262,779187,196674
405,,Oman,,31344,9075,133984,41016
406,,Philippines,,,,,
407,,Qatar,,62002,20858,1402670,407499
408,,Samoa,,,,113300,26584
409,,Saudi Arabia,,162495,52811,2618160,757353
410,,Singapore,,30712,8978,170683,52089
411,,South Africa,,,,,
412,,Sri Lanka,,140500,37656,1571945,371063
413,,Thailand,,1381197,320224,20106061,4535977
414,,Turkey,,,,24550,2974
415,,U.R.of Tanzania,,,,,
416,,U.S.America,,220000,84831,1581806,533362
417,,United Arab Emirates,,123104,45053,2347702,678615
418,,United Kingdom,,,,,
419,,Viet Nam,,1294928,343156,26402496,6274017
