,HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6
0,,,,QUANTITY,VALUE,QUANTITY,VALUE
20069,,Myanmar,,,,4740,434
20070,,Netherlands,,,,206881,20817
20071,,New Zealand,,2400,368,16340,1579
20072,,Nigeria,,,,131167,11107
20073,,Oman,,,,10946,2075
20074,,Panama,,,,146358,14202
20075,,Paraguay,,,,257515,27424
20076,,Peru,,,,211710,28299
20077,,Philippines,,,,180836,19417
20078,,Poland,,,,117153,8952
20079,,Portugal,,,,307464,29966
20080,,Qatar,,,,17786,2718
20081,,Romania,,23000,3124,1263037,136857
20082,,Russian Federation,,224000,32911,1145241,119848
20083,,Saudi Arabia,,187000,31291,3917360,415917
20084,,Senegal,,,,,
20085,,Singapore,,,,55638,5061
20086,,Slovenia,,,,12551,1120
20087,,South Africa,,82792,10962,835394,78424
20088,,South Sudan,,,,531813,54974
20089,,Spain,,40000,5624,535794,49690
20090,,Sri Lanka,,,,102746,8857
20091,,Sudan,,,,112925,11387
20092,,Suriname,,,,,
20093,,Sweden,,,,17365,1942
20094,,Syrian Arab Republic,,,,,
20095,,Togo,,,,,
20096,,Trinidad and Tobago,,,,,
20097,,Tunisia,,24000,3810,315831,30323
20098,,Turkey,,,,78590,8271
20099,,U.R.of Tanzania,,38185,4777,338960,36472
20100,,U.S.America,,31800,4418,717629,72755
20101,,Ukraine,,,,100000,13438
20102,,United Arab Emirates,,373300,64767,7918169,821080
20103,,United Kingdom,,35900,4875,396408,34896
20104,,Uruguay,,,,101475,20214
20105,,"Venezuela,Bolivar. R",,,,,
20106,,Viet Nam,,6000,775,259981,25547
20107,,Zimbabwe,,,,352071,32349
20108,52105900.0,"OTH W-FAB COT,MMF W 200G PRINT",SQM,29715,4066,2696305,298259
20109,,Algeria,,,,28000,4494
20110,,Argentina,,,,621614,75782
20111,,Austria,,,,,
20112,,Bahrain,,,,6100,630
20113,,Bangladesh,,,,466031,38423
20114,,Cameroon,,,,,
20115,,Canada,,,,490,65
20116,,Chile,,,,,
20117,,China,,,,,
20118,,Colombia,,,,113918,14012
20119,,Croatia,,,,,
20120,,Czech Republic,,,,5980,815
20121,,Estonia,,,,71267,8505
20122,,France,,,,103309,9896
20123,,Germany,,,,100000,11250
20124,,Greece,,,,610,54
20125,,Hong Kong S.A.Re.Chi,,,,,
20126,,Hungary,,,,,
20127,,India,,,,,
20128,,Italy,,,,153099,12877
20129,,Jordan,,,,530,94
20130,,Kenya,,,,,
20131,,Kuwait,,,,,
20132,,Malaysia,,6000,987,17110,2434
20133,,Mexico,,,,120259,13677
20134,,Netherlands,,,,52500,6019
20135,,New Zealand,,,,,
20136,,Nigeria,,,,,
20137,,Paraguay,,,,,
20138,,Peru,,,,73228,6810
20139,,Poland,,,,95777,12930
20140,,Portugal,,,,92531,11590
20141,,Qatar,,,,,
20142,,Romania,,,,10500,1170
20143,,Russian Federation,,,,,
20144,,Saudi Arabia,,,,32060,4264
20145,,Singapore,,,,,
20146,,South Africa,,,,167002,21027
20147,,Spain,,300,35,16739,2057
20148,,Sri Lanka,,,,,
20149,,Tunisia,,,,,
20150,,U.R.of Tanzania,,,,,
20151,,U.S.America,,23415,3044,257695,30083
20152,,Ukraine,,,,,
20153,,United Arab Emirates,,,,88369,9097
20154,,United Kingdom,,,,1587,201
20155,,"Venezuela,Bolivar. R",,,,,
20156,52111100.0,"COT W-FAB,MX MF W>200G/SQM UNB",SQM,230805,28662,2739685,305673
20157,,Australia,,,,1150,103
20158,,Bangladesh,,,,,
20159,,Canada,,,,,
20160,,Croatia,,,,1520,139
20161,,Egypt(U.A.R.),,199615,23567,1986617,220056
20162,,Finland,,,,12070,1622
20163,,Germany,,,,53502,6847
20164,,Greece,,,,,
20165,,Italy,,,,7510,1131
20166,,Jordan,,,,4000,345
20167,,Kenya,,,,,
20168,,"Korea, Republic of",,,,51000,8079
20169,,Lebanon,,,,,
20170,,Mexico,,,,77734,12593
20171,,Poland,,2510,327,2510,327
20172,,Portugal,,,,13065,2342
20173,,Saudi Arabia,,,,,
20174,,South Africa,,,,144623,12300
20175,,Spain,,,,30485,3500
20176,,Turkey,,4680,566,21985,2404
20177,,U.S.America,,16000,2881,183201,16371
20178,,United Kingdom,,,,38239,4641
20179,52111200.0,COT FAB 3-4THREAD MIX>200G UNB,SQM,2064028,256470,36433583,3730091
20180,,Australia,,,,54000,4407
20181,,Bangladesh,,,,682491,47972
20182,,Belgium,,77431,12389,770065,91673
20183,,Cambodia Fr.Kampuche,,,,351000,31579
20184,,China,,,,449260,50283
20185,,Croatia,,,,1000,76
20186,,Czech Republic,,,,4810,403
20187,,Egypt(U.A.R.),,7000,804,30450,3001
20188,,France,,,,1450,177
20189,,Germany,,31220,3491,1154515,114353
20190,,Ghana,,,,15000,1591
20191,,Greece,,,,,
20192,,Hong Kong S.A.Re.Chi,,,,259202,23827
20193,,India,,74000,9222,193408,26009
20194,,Indonesia,,,,,
20195,,Italy,,54760,6095,1612180,153495
20196,,Japan,,16150,1890,16150,1890
20197,,Kenya,,,,20320,2154
20198,,"Korea, Republic of",,35500,5213,154400,17160
20199,,Lesotho,,,,177246,22364
20200,,Malaysia,,,,10103,867
20201,,Mauritius,,,,5550,597
20202,,Mexico,,513672,68331,6942820,662337
20203,,Morocco,,,,59127,6433
20204,,Netherlands,,,,1812618,205180
20205,,Paraguay,,,,,
20206,,Portugal,,,,198849,16686
20207,,Romania,,,,17500,1519
20208,,Russian Federation,,120285,14065,2272348,287111
20209,,Saudi Arabia,,,,57640,5892
20210,,South Africa,,,,15450,1569
20211,,Spain,,41500,5848,524204,62481
20212,,Sweden,,,,,
20213,,Thailand,,,,4800,645
20214,,Tunisia,,25000,3939,163158,20464
20215,,Turkey,,,,806412,80892
20216,,U.S.America,,20000,2376,2254565,213021
20217,,United Arab Emirates,,,,9920,927
20218,,United Kingdom,,1047510,122806,14963867,1537371
20219,,Viet Nam,,,,289386,23959
20220,52111900.0,"OTH W-FABCOT,MF W>200G/SQM UNB",SQM,87535,9022,2429735,275282
20221,,Bangladesh,,10000,1228,86823,10840
20222,,Belgium,,,,,
20223,,China,,,,,
20224,,Egypt(U.A.R.),,,,155312,16392
20225,,France,,,,15540,1562
20226,,Germany,,5000,620,27712,2847
20227,,Indonesia,,,,,
20228,,Italy,,1735,227,77490,7604
20229,,Jordan,,,,29747,2404
20230,,Lebanon,,,,,
20231,,Malaysia,,,,,
20232,,Mauritius,,,,,
20233,,Netherlands,,,,152020,15858
20234,,Poland,,,,49283,5264
20235,,Portugal,,,,,
20236,,Russian Federation,,,,7600,680
20237,,Saudi Arabia,,,,,
20238,,Spain,,,,214809,20955
20239,,Sri Lanka,,,,,
20240,,Tunisia,,,,74827,10361
20241,,U.S.America,,30800,3725,319883,33934
20242,,United Arab Emirates,,,,,
20243,,United Kingdom,,40000,3221,1218689,146580
20244,52112000.0,W-FAB COT WT<85% MIX MMF-BLEA,SQM,246741,30691,3765978,389956
20245,,Albania,,,,25548,2328
20246,,Algeria,,,,120000,9987
20247,,Argentina,,,,20746,1629
20248,,Australia,,,,18283,1835
20249,,Bangladesh,,,,,
20250,,Belgium,,,,1020,134
20251,,Bulgaria,,,,,
20252,,Canada,,,,,
20253,,Colombia,,,,48387,4829
20254,,Djibouti,,,,75600,8206
20255,,Ecuador,,,,,
20256,,Estonia,,2000,242,106951,10580
20257,,Finland,,,,6144,763
20258,,France,,,,1220,127
20259,,Germany,,,,31631,2619
20260,,Greece,,,,21313,2782
20261,,Haiti,,,,,
20262,,Hungary,,,,,
20263,,India,,,,6911,863
20264,,Jordan,,,,,
20265,,Lebanon,,,,2200,226
20266,,Lithuania,,,,,
20267,,Madagascar,,10000,1169,236160,26850
20268,,Malaysia,,,,11700,1618
20269,,Mauritius,,6750,754,160022,16228
20270,,Mexico,,,,27272,2451
20271,,Morocco,,,,316841,35617
20272,,Norway,,,,,
20273,,Oman,,,,,
20274,,Panama,,,,,
20275,,Poland,,22000,2690,430083,44170
20276,,Portugal,,,,,
20277,,Romania,,52260,6501,213645,23275
20278,,Russian Federation,,,,,
20279,,Saudi Arabia,,,,2102,417
20280,,Senegal,,,,,
20281,,Slovenia,,,,3438,346
20282,,South Africa,,,,409874,39879
20283,,Spain,,86250,11115,361844,42685
20284,,Sri Lanka,,15065,1978,140936,13800
20285,,Suriname,,,,,
20286,,Thailand,,100,11,100,11
20287,,Tunisia,,,,,
20288,,Turkey,,,,47170,5111
20289,,U.S.America,,,,47250,4416
20290,,United Arab Emirates,,,,99869,8200
20291,,United Kingdom,,,,250873,28725
20292,,Yemen,,,,,
20293,52113100.0,"WW-FAB COT,MMF W>200G/SQM DYED",SQM,22480,2496,1769194,173749
20294,,Algeria,,,,54003,5429
20295,,Argentina,,,,79532,8392
20296,,Australia,,,,42706,4647
20297,,Bangladesh,,,,7650,745
20298,,Belgium,,,,,
20299,,Canada,,,,4516,359
20300,,Colombia,,,,69933,6449
20301,,Dominican Republic,,,,19234,2324
20302,,France,,,,56000,5696
20303,,Germany,,,,193020,19677
20304,,Greece,,,,1926,233
20305,,India,,,,,
20306,,Italy,,,,34180,3283
20307,,Jordan,,,,,
20308,,Latvia,,,,11000,2086
20309,,Lebanon,,,,7902,775
20310,,Lithuania,,,,,
20311,,Netherlands,,,,,
20312,,Portugal,,,,,
20313,,Romania,,22480,2496,98771,10524
20314,,Saudi Arabia,,,,9918,1057
20315,,South Africa,,,,904635,85135
20316,,Spain,,,,57243,6143
20317,,Suriname,,,,,
20318,,Tunisia,,,,,
20319,,Turkey,,,,7453,797
20320,,U.R.of Tanzania,,,,5170,388
20321,,U.S.America,,,,4950,511
20322,,United Arab Emirates,,,,60000,4869
20323,,United Kingdom,,,,39452,4233
20324,,Uruguay,,,,,
20325,,Viet Nam,,,,,
20326,52113200.0,WOV FAB 3-4THREAD MIX>200GDYED,SQM,213850,25953,3199576,307371
20327,,Bahrain,,,,2462,274
20328,,Bangladesh,,,,1020372,94681
20329,,France,,,,7720,755
20330,,Germany,,25500,2675,32090,3309
20331,,Ghana,,,,,
20332,,India,,,,23000,1760
20333,,Italy,,,,227592,20815
20334,,Jordan,,,,3630,462
20335,,Madagascar,,98350,13445,799078,82162
20336,,Mauritius,,,,341544,32879
20337,,Mozambique,,,,251702,22148
20338,,Poland,,,,,
20339,,Senegal,,,,56590,6225
20340,,Singapore,,,,,
20341,,Spain,,32000,3315,42140,4648
20342,,Sri Lanka,,,,180913,15085
20343,,Tunisia,,,,,
20344,,Turkey,,,,,
20345,,U.S.America,,,,59873,5933
20346,,United Arab Emirates,,,,18917,1618
20347,,United Kingdom,,58000,6519,110400,12544
20348,,Viet Nam,,,,21553,2074
20349,52113900.0,"OTH W-FAB COT,MMF W>200G DYED",SQM,83280,10213,2416114,274352
20350,,Albania,,,,,
20351,,Algeria,,,,549176,53604
20352,,Australia,,,,18000,2159
20353,,Bangladesh,,,,195402,27430
20354,,Denmark,,,,56102,4302
20355,,Djibouti,,31150,4298,1018173,122263
20356,,Fiji,,,,43941,4664
20357,,France,,,,18240,1642
20358,,Germany,,,,40210,3774
20359,,India,,,,,
20360,,Iraq,,,,,
20361,,Italy,,28280,2597,56040,5203
20362,,Jordan,,,,219336,23818
20363,,Lebanon,,23850,3318,67675,8536
20364,,Lithuania,,,,,
20365,,Netherlands,,,,26206,1999
20366,,Philippines,,,,5000,625
20367,,Qatar,,,,,
20368,,Saudi Arabia,,,,,
20369,,Sweden,,,,65420,7580
20370,,Thailand,,,,3220,337
20371,,Tunisia,,,,,
20372,,United Arab Emirates,,,,,
20373,,United Kingdom,,,,33973,6417
20374,52114100.0,"COT W-FAB CLO YRN,MF W>200GSQM",SQM,,,,
20375,,Australia,,,,,
20376,,Germany,,,,,
20377,52114200.0,"W-FAB COT DENM,MX MFW>200G/SQM",SQM,2072798,244048,54037143,7045867
20378,,Austria,,,,121081,18107
20379,,Bangladesh,,1714583,205750,34209997,4202422
20380,,Belgium,,,,104510,13798
20381,,Brazil,,,,,
20382,,Cambodia Fr.Kampuche,,7700,992,618240,112080
20383,,Chile,,10000,1314,295900,41045
20384,,China,,,,125249,21227
20385,,Colombia,,,,471294,66848
20386,,Czech Republic,,,,,
20387,,Egypt(U.A.R.),,72000,7724,3072934,495410
20388,,Germany,,,,291298,31084
20389,,Greece,,,,1820,319
20390,,Hong Kong S.A.Re.Chi,,,,131035,19428
20391,,India,,51700,4991,1029893,149682
20392,,Indonesia,,,,23677,2544
20393,,Italy,,,,430622,59641
20394,,Jordan,,,,,
20395,,Kenya,,,,37603,4362
20396,,"Korea, Republic of",,,,65340,10098
20397,,Kuwait,,,,,
20398,,Lebanon,,,,,
20399,,Lesotho,,,,224051,35990
20400,,Malaysia,,,,5888,1172
20401,,Mauritania,,,,120000,19229
20402,,Mexico,,,,17198,3096
20403,,Morocco,,44750,4264,179750,21723
20404,,Netherlands,,,,156042,21741
20405,,Nicaragua,,,,,
20406,,Paraguay,,,,46603,6483
20407,,Peru,,,,394410,52806
20408,,Philippines,,,,4020,724
20409,,Poland,,,,,
20410,,Portugal,,,,184570,16031
20411,,Serbia,,,,50222,8281
20412,,Singapore,,,,20865,3925
20413,,South Africa,,,,1200,165
20414,,Spain,,,,387988,42965
20415,,Sri Lanka,,9090,1134,966017,142089
20416,,Syrian Arab Republic,,,,29824,4985
20417,,Thailand,,,,328339,50304
20418,,Tunisia,,,,345798,54918
20419,,Turkey,,162975,17879,8071065,1052984
20420,,U.R.of Tanzania,,,,96000,14544
20421,,United Arab Emirates,,,,231140,37298
20422,,Viet Nam,,,,1145660,206322
20423,52114900.0,OTH W-FB COT CLO YRN MMF>200G,SQM,,,237480,30557
20424,,Bangladesh,,,,20500,2777
20425,,Canada,,,,3236,392
20426,,Denmark,,,,21875,2727
20427,,Finland,,,,1530,341
20428,,Germany,,,,1300,163
20429,,Hong Kong S.A.Re.Chi,,,,3285,399
20430,,South Africa,,,,960,130
20431,,Sri Lanka,,,,,
20432,,U.S.America,,,,,
20433,,Viet Nam,,,,184794,23628
20434,52115100.0,"COT WOV FAB,MF,W>200G/SQM PRNT",SQM,60320,6646,2770391,273941
20435,,Algeria,,,,,
20436,,Argentina,,,,57320,5881
20437,,Australia,,,,6960,679
20438,,Bangladesh,,,,,
20439,,Cameroon,,,,,
20440,,Canada,,10000,1360,20210,2262
20441,,Chile,,27110,2547,160167,17129
20442,,China,,,,,
20443,,Colombia,,,,71000,11479
20444,,Finland,,,,703117,66294
20445,,Germany,,,,,
20446,,Greece,,,,13254,1564
20447,,Hong Kong S.A.Re.Chi,,,,,
20448,,Italy,,,,188731,18446
20449,,Jordan,,,,,
20450,,Kenya,,,,146520,18315
20451,,Latvia,,,,117630,17020
20452,,Lebanon,,,,7010,522
20453,,Mexico,,,,,
20454,,Poland,,,,39656,4212
20455,,Portugal,,,,24260,2679
20456,,Romania,,,,50676,5088
20457,,Russian Federation,,,,,
20458,,Saudi Arabia,,,,,
20459,,South Africa,,22210,2616,1015736,88052
20460,,Spain,,,,22029,2160
20461,,Sri Lanka,,,,24000,1504
20462,,Suriname,,,,,
20463,,U.R.of Tanzania,,,,97115,9991
20464,,United Arab Emirates,,1000,123,5000,662
20465,52115200.0,WOV FAB 3-4THRD MMF-W>200GPRNT,SQM,35941,4888,57041,7766
20466,,Bangladesh,,,,,
20467,,Singapore,,,,,
20468,,U.S.America,,35941,4888,57041,7766
20469,52115900.0,"OTH W-FAB COT,MF,W>200G/SQM PR",SQM,280619,30476,2870932,321493
20470,,Algeria,,,,,
20471,,Belgium,,,,11682,1069
20472,,Chile,,,,18000,2351
20473,,China,,17110,1825,184118,20868
20474,,Costa Rica,,,,14528,1787
20475,,Germany,,100000,9872,100000,9872
20476,,Hong Kong S.A.Re.Chi,,7360,732,174602,22743
20477,,Hungary,,,,2860,268
20478,,Ireland,,,,,
20479,,Oman,,,,635,61
20480,,Portugal,,,,35112,2348
20481,,Saudi Arabia,,,,9050,896
20482,,Singapore,,,,115753,13220
20483,,South Africa,,,,,
20484,,Sri Lanka,,,,20639,2435
20485,,Switzerland,,,,2025,162
20486,,Turkey,,,,27850,4133
20487,,U.S.America,,,,262478,23519
20488,,United Arab Emirates,,32489,4404,404874,50549
20489,,United Kingdom,,,,,
20490,,Viet Nam,,10000,1078,131427,14939
20491,,Zimbabwe,,,,54508,6650
20492,52121100.0,OTH COT W-FAB UN-BL W 200G/SQM,SQM,2842876,360411,50177278,5307467
20493,,Australia,,,,121971,12823
20494,,Bahrain,,14810,2036,182655,21504
20495,,Bangladesh,,49100,6936,2801415,292616
20496,,Belgium,,82000,13209,746755,83356
20497,,Brazil,,,,,
20498,,Canada,,,,81227,9267
20499,,Chile,,,,7600,538
20500,,China,,430210,56640,9215715,993308
20501,,Colombia,,,,9622,1150
20502,,Croatia,,,,26845,2578
20503,,Czech Republic,,,,354518,50373
20504,,Denmark,,,,14925,1952
20505,,Egypt(U.A.R.),,,,133320,10326
20506,,El Salvador,,,,9680,1291
20507,,France,,51000,5674,264930,26622
20508,,Germany,,76150,9763,1748783,160081
20509,,Greece,,,,,
20510,,Haiti,,,,58102,4551
20511,,Hong Kong S.A.Re.Chi,,,,65245,6719
20512,,India,,,,5830,493
20513,,Indonesia,,,,134512,19590
20514,,Italy,,364920,48116,4054394,460752
20515,,Japan,,,,432801,47003
20516,,Jordan,,,,,
20517,,"Korea, Republic of",,,,1451090,138777
20518,,Kuwait,,,,182283,20176
20519,,Lebanon,,,,25060,1871
20520,,Lithuania,,,,193130,21040
20521,,Madagascar,,,,41000,3034
20522,,Malaysia,,,,163557,14807
20523,,Malta,,,,311219,27797
20524,,Mexico,,,,7500,753
20525,,Morocco,,,,27881,3297
20526,,Netherlands,,298815,39402,11171714,1154333
20527,,New Zealand,,,,,
20528,,Oman,,21950,2888,77357,10007
20529,,Paraguay,,,,,
20530,,Philippines,,30000,4016,364482,39564
20531,,Poland,,,,10200,812
20532,,Portugal,,573040,70127,5672188,609549
20533,,Qatar,,,,199138,17807
20534,,Romania,,,,,
20535,,Russian Federation,,,,11000,1684
20536,,Saudi Arabia,,138400,15587,701312,74167
20537,,Singapore,,,,12000,1219
20538,,South Africa,,,,,
20539,,Spain,,16500,3777,741380,73127
20540,,Sri Lanka,,103740,12420,2323721,230430
20541,,Sweden,,,,680,101
20542,,Switzerland,,,,8370,1137
20543,,Thailand,,,,734749,67465
20544,,Trinidad and Tobago,,33000,4025,33000,4025
20545,,Turkey,,42800,4547,357530,32050
20546,,U.S.America,,205120,22667,2349478,257208
20547,,United Arab Emirates,,58771,8228,761364,90702
20548,,United Kingdom,,252550,30355,1764820,202730
20549,,Uruguay,,,,9230,903
20550,,Viet Nam,,,,,
20551,,Zambia,,,,,
20552,,Zimbabwe,,,,,
20553,52121200.0,OTH COT W-FAB BLECH W 200G/SQM,SQM,1269697,178835,19454064,2114063
20554,,Albania,,,,7980,839
20555,,Australia,,75300,8834,260202,29834
20556,,Austria,,,,,
20557,,Bahrain,,1810,235,10128,1199
20558,,Bangladesh,,55000,9718,3787823,430769
20559,,Belgium,,6040,815,102870,10488
20560,,Brazil,,,,,
20561,,Bulgaria,,,,,
20562,,Cambodia Fr.Kampuche,,,,,
20563,,Cameroon,,,,6510,843
20564,,Canada,,,,61245,6910
20565,,Chile,,,,86472,9669
20566,,China,,,,103958,10486
20567,,Colombia,,,,12790,1214
20568,,Comoros,,,,40000,5428
20569,,Costa Rica,,,,,
20570,,Croatia,,,,,
20571,,Cyprus,,,,35120,4381
20572,,Czech Republic,,,,136299,12746
20573,,Denmark,,,,13935,1498
20574,,Djibouti,,,,245893,22363
20575,,Egypt(U.A.R.),,,,,
20576,,El Salvador,,,,11120,1355
20577,,Fiji,,,,8826,899
20578,,France,,,,88798,10383
20579,,Georgia,,,,5979,474
20580,,Germany,,22000,2897,294536,32679
20581,,Greece,,66150,7608,280806,33477
20582,,Haiti,,,,32102,2046
20583,,Hungary,,,,20972,2316
20584,,India,,,,75220,6114
20585,,Indonesia,,,,182831,17273
20586,,Iran ( Islamic R.),,,,,
20587,,Italy,,336100,43067,1526840,190646
20588,,Jordan,,,,208000,18910
20589,,Kenya,,,,52450,5885
20590,,"Korea, Republic of",,,,46882,5835
20591,,Kuwait,,,,14950,1812
20592,,Lebanon,,5510,738,39610,4862
20593,,Lithuania,,,,123770,13781
20594,,Madagascar,,,,18000,1312
20595,,Malaysia,,,,21946,3337
20596,,Malta,,,,,
20597,,Mexico,,14000,1703,185576,21081
20598,,Morocco,,,,20492,4551
20599,,Netherlands,,,,38602,3841
20600,,New Zealand,,5490,763,240746,21936
20601,,Norway,,,,4720,684
20602,,Oman,,18720,2430,287017,28461
20603,,Paraguay,,,,3170,466
20604,,Peru,,,,143824,11827
20605,,Poland,,12150,1621,115782,11306
20606,,Portugal,,51000,5654,428211,41394
20607,,Puerto Rico,,,,,
20608,,Qatar,,,,59702,4877
20609,,Romania,,,,,
20610,,Russian Federation,,,,,
20611,,Saudi Arabia,,,,251213,24582
20612,,Senegal,,,,13500,1056
20613,,Singapore,,,,37258,3049
20614,,Slovakia/Slovak R.,,,,32867,3029
20615,,Slovenia,,,,36785,4118
20616,,South Africa,,,,205602,23557
20617,,Spain,,150910,26593,3167536,354423
20618,,Sri Lanka,,10000,1393,145986,14778
20619,,Sweden,,80750,10255,129108,15810
20620,,Thailand,,,,523760,51742
20621,,Trinidad and Tobago,,,,41935,3970
20622,,Tunisia,,6660,789,126460,12517
20623,,Turkey,,110000,25733,1877117,197425
20624,,U.S.America,,44097,5731,824810,90603
20625,,Ukraine,,,,6000,712
20626,,United Arab Emirates,,10000,974,1016842,96090
20627,,United Kingdom,,184160,20844,1418745,151153
20628,,Uruguay,,,,11635,1137
20629,,Viet Nam,,,,,
20630,,Yemen,,,,28350,3510
20631,52121300.0,OTH COT W-FAB DYED W 200G/SQM,SQM,280145,32239,7131891,783527
20632,,Afghanistan,,,,311,41
20633,,Algeria,,,,245000,28109
20634,,Argentina,,,,359289,37852
20635,,Australia,,,,74810,7537
20636,,Bahrain,,2000,214,11500,1149
20637,,Bangladesh,,,,396200,39967
20638,,Belgium,,27410,3544,36614,4772
20639,,Brazil,,,,,
20640,,Bulgaria,,20000,2146,25320,4874
20641,,Canada,,20000,2617,29570,3692
20642,,Chile,,,,64550,6205
20643,,China,,,,134420,13478
20644,,Colombia,,,,76425,8800
20645,,Costa Rica,,,,97550,11155
20646,,Cuba,,,,3236,517
20647,,Czech Republic,,,,89131,9233
20648,,Denmark,,,,13078,1141
20649,,Egypt(U.A.R.),,,,,
20650,,Estonia,,,,298104,37263
20651,,France,,,,91203,11632
20652,,Germany,,,,178168,22274
20653,,Greece,,,,153631,16926
20654,,Hungary,,,,,
20655,,India,,1250,174,17818,1983
20656,,Italy,,19315,2647,629590,72025
20657,,Japan,,,,,
20658,,Kenya,,,,13775,3079
20659,,Kuwait,,,,,
20660,,Latvia,,,,,
20661,,Lebanon,,20000,2058,106976,10913
20662,,Lithuania,,,,65291,7835
20663,,Malaysia,,,,,
20664,,Mauritius,,,,,
20665,,Mexico,,,,8220,854
20666,,Morocco,,,,130414,13914
20667,,Netherlands,,,,172148,19862
20668,,New Zealand,,,,22270,2436
20669,,Norway,,,,,
20670,,Oman,,,,26803,2829
20671,,Panama,,,,141370,13994
20672,,Peru,,,,,
20673,,Philippines,,,,29180,3287
20674,,Poland,,,,33006,3336
20675,,Portugal,,10000,1198,675967,73954
20676,,Puerto Rico,,,,,
20677,,Qatar,,,,9230,977
20678,,Romania,,,,8470,645
20679,,Russian Federation,,,,,
20680,,Saudi Arabia,,1000,116,21432,2336
20681,,Singapore,,,,,
20682,,Slovakia/Slovak R.,,,,12000,1552
20683,,Slovenia,,,,,
20684,,South Africa,,30000,3602,535282,57846
20685,,Sri Lanka,,20000,2468,600793,61907
20686,,St.Vincent/Grenadine,,,,51369,5079
20687,,Trinidad and Tobago,,,,35484,3070
20688,,U.S.America,,310,41,456491,52889
20689,,United Arab Emirates,,15630,1666,185144,19452
20690,,United Kingdom,,5830,545,143422,15536
20691,,Uruguay,,,,62916,6659
20692,,Viet Nam,,,,43520,3442
20693,52121400.0,"OTH W-FAB,COLOR YRN W 200G/SQM",SQM,,,3000,418
20694,,Brazil,,,,3000,418
20695,,Germany,,,,,
20696,,U.S.America,,,,,
20697,52121500.0,OTH W-FAB COT PRNTD W 200G/SQM,SQM,970235,109034,17386473,1861317
20698,,Albania,,,,86567,11813
20699,,Argentina,,,,248670,20886
20700,,Australia,,33000,4094,299526,31523
20701,,Bangladesh,,3350,481,267703,33170
20702,,Belgium,,,,76000,9896
20703,,Brazil,,,,45500,3854
20704,,Bulgaria,,10000,1272,138525,16296
20705,,Canada,,42200,4812,696866,69382
20706,,Chile,,,,6019,626
20707,,China,,5000,515,87903,8534
20708,,Colombia,,,,,
20709,,Czech Republic,,,,59208,4735
20710,,Denmark,,2810,382,12845,1560
20711,,Djibouti,,,,152,17
20712,,El Salvador,,,,,
20713,,Estonia,,,,22218,2544
20714,,Finland,,,,284110,32661
20715,,France,,,,24000,4151
20716,,Germany,,,,479876,45618
20717,,Greece,,61000,8557,587598,62791
20718,,Guatemala,,,,62610,6340
20719,,Hong Kong S.A.Re.Chi,,8095,1026,34428,3968
20720,,Hungary,,61990,8696,61990,8696
20721,,India,,4600,469,156400,22990
20722,,Iran ( Islamic R.),,,,1800,235
20723,,Italy,,100000,10469,1588803,173583
20724,,Kuwait,,,,60000,6355
20725,,Latvia,,,,,
20726,,Lebanon,,,,11985,1428
20727,,Lithuania,,,,163203,18642
20728,,Malaysia,,40620,4857,349301,43861
20729,,Mauritius,,,,130,10
20730,,Mexico,,,,92735,9762
20731,,Mozambique,,,,,
20732,,Netherlands,,10000,1245,913523,100458
20733,,Panama,,,,16510,1157
20734,,Philippines,,,,2710,311
20735,,Poland,,28250,2951,153401,16229
20736,,Portugal,,,,,
20737,,Qatar,,,,11314,1188
20738,,Romania,,,,53958,5770
20739,,Russian Federation,,,,367380,44766
20740,,Saudi Arabia,,200,24,8969,813
20741,,Senegal,,,,19000,2902
20742,,Singapore,,,,14000,1270
20743,,Slovakia/Slovak R.,,,,24982,2529
20744,,Slovenia,,,,48000,6903
20745,,South Africa,,14040,1613,812148,96288
20746,,Spain,,1000,138,74227,9035
20747,,Sri Lanka,,1710,210,20719,2496
20748,,Sweden,,,,46631,3334
20749,,U.S.America,,381250,40574,8137097,840296
20750,,Ukraine,,100000,10716,288399,28644
20751,,United Arab Emirates,,25000,2363,197646,22762
20752,,United Kingdom,,36120,3571,158961,16746
20753,,Uruguay,,,,,
20754,,Viet Nam,,,,10227,1492
20755,52122100.0,OTH W-FAB COT UNBLE W>200G/SQM,SQM,472290,52655,2770493,348782
20756,,Australia,,,,68403,8513
20757,,Bangladesh,,,,,
20758,,Canada,,,,13750,1342
20759,,China,,,,,
20760,,Egypt(U.A.R.),,452850,50247,2213617,277738
20761,,Estonia,,,,,
20762,,Germany,,,,197718,27929
20763,,Italy,,,,,
20764,,Kenya,,,,,
20765,,Oman,,,,,
20766,,Peru,,,,46260,6086
20767,,Portugal,,19440,2408,104623,12757
20768,,South Africa,,,,,
20769,,Spain,,,,38920,4651
20770,,Switzerland,,,,,
20771,,United Arab Emirates,,,,,
20772,,United Kingdom,,,,87202,9766
20773,52122200.0,OTH COT WOV FAB BLEAC>200G/SQM,SQM,1132095,147034,21634129,2331242
20774,,Albania,,,,16754,1738
20775,,Australia,,,,548931,74790
20776,,Bangladesh,,21475,2678,641785,83369
20777,,Belgium,,,,545094,54815
20778,,Brazil,,,,,
20779,,Bulgaria,,,,57477,6692
20780,,Canada,,7785,1457,45864,6063
20781,,Chile,,,,1730,181
