HSCODE,COMMODITY / COUNTRY,UNIT,JUNE,Unnamed: 4,CUMULATIVE FROM JULY,Unnamed: 6,JUNE.1,Unnamed: 8,CUMULATIVE FROM JULY.1,Unnamed: 10
,,,QUANTITY,VALUE,QUANTITY,VALUE,QUANTITY,VALUE,QUANTIT,VALUE
,Japan,,,,1452,531,,,,
,O.Asia(Tai.For.Pe.Ki,,,,19120,7556,,,968,301
,Singapore,,,,490,154,,,,
,Thailand,,,,8190,2205,,,144,42
,Viet Nam,,,,55390,7480,,,,
3019900,OTHER LIVE FISH,KG,65516,22337,458602,148498,,,707100,212742
,Afghanistan,,,,,,,,1000,87
,China,,48166,16156,412903,131647,,,565118,159195
,Denmark,,,,10000,3028,,,,
,Hong Kong S.A.Re.Chi,,7130,2429,19633,7668,,,98035,40245
,Japan,,,,,,,,240,75
,O.Asia(Tai.For.Pe.Ki,,8680,3232,14526,5634,,,30953,10853
,Singapore,,350,128,350,128,,,,
,Thailand,,1190,393,1190,393,,,11274,2038
,U.S.America,,,,,,,,480,250
3021900,"OTH SALMO FISH,EXCL LIVER F/CH",KG,2275,603,1652000,587302,3736,1297,557656,167317
,Afghanistan,,2275,603,95150,33239,810,261,185245,25282
,Bahrain,,,,13911,4744,,,,
,Canada,,,,30574,9643,,,28159,11867
,Hong Kong S.A.Re.Chi,,,,,,,,6728,2758
,Jordan,,,,11220,3512,,,,
,"Korea, Republic of",,,,,,,,4000,1341
,Kuwait,,,,385967,157307,,,31240,10395
,Malaysia,,,,,,,,1060,434
,Mauritius,,,,2090,764,,,,
,O.Asia(Tai.For.Pe.Ki,,,,6023,2512,,,,
,Oman,,,,3615,1134,,,,
,Qatar,,,,102719,31780,,,,
,Saudi Arabia,,,,284593,92889,2050,673,207010,72359
,Singapore,,,,,,,,950,289
,Thailand,,,,705,294,,,2000,623
,U.S.America,,,,58546,23770,,,8434,6166
,United Arab Emirates,,,,654056,224530,876,363,82342,35529
,United Kingdom,,,,2831,1182,,,488,273
3022300,SOLE FLAT FISH F/CH EXCL.LIVER,KG,5710,1659,78276,24871,,,23166,3236
,China,,2240,672,3150,973,,,,
,Hong Kong S.A.Re.Chi,,3470,987,7935,2454,,,,
,Kuwait,,,,,,,,186,125
,Maldives,,,,500,209,,,,
,O.Asia(Tai.For.Pe.Ki,,,,,,,,400,208
,U.S.America,,,,2300,1023,,,,
,United Arab Emirates,,,,64391,20213,,,22580,2904
3022900,"O.FLAT FISH,EX.LIVER&ROES.F/CH",KG,,,731797,228838,,,1349126,418497
,Bahrain,,,,,,,,52040,7767
,Canada,,,,4728,1482,,,8379,2923
,China,,,,1100,319,,,,
,Hong Kong S.A.Re.Chi,,,,8200,2371,,,7335,2859
,Jordan,,,,,,,,7820,2443
,Kuwait,,,,365275,112302,,,112784,33247
,O.Asia(Tai.For.Pe.Ki,,,,24848,6176,,,14463,4435
,Qatar,,,,51019,17150,,,76010,22607
,Saudi Arabia,,,,201952,63602,,,421680,134176
,Singapore,,,,366,113,,,,
,Thailand,,,,5774,1807,,,6888,2161
,U.S.America,,,,46268,15835,,,51760,16214
,United Arab Emirates,,,,17897,6014,,,589967,189665
,Viet Nam,,,,4370,1667,,,,
3023900,OTH TUNAS EXCL LVR/ROES FR/CHL,KG,125099,25529,308533,75992,,,1546387,482396
,Afghanistan,,,,,,,,3803,1145
,Angola,,,,34560,4412,,,,
,Bahrain,,,,,,,,67625,16617
,Bangladesh,,,,,,,,500,156
,Canada,,1395,427,1395,427,,,18336,7441
,Hong Kong S.A.Re.Chi,,,,4912,2390,,,7980,4148
,Jordan,,,,,,,,17731,5727
,Kuwait,,,,,,,,244324,48685
,Lebanon,,,,,,,,22272,8406
,Liberia,,,,,,,,15000,5034
